task_id,category,preference_axis,selector,service_id,selection_reason,response_text,judge_score,judge_rationale,latency_s,prompt_tokens,completion_tokens,cost_usd,cost_violation,latency_violation,quality_violation,success,error
2,translation,cost,llm_picker_manifest,moonshot/kimi-k2.5@2.5,"The estimated cost for translating a short sentence is well below $0.005, and the model's quality score of 60 (on a 0-100 scale) exceeds the minimum required quality threshold of 6.",,0.0,,13.783917599997949,0,0,0.0,False,False,False,False,[WinError 10054] 远程主机强迫关闭了一个现有的连接。
2,translation,cost,llm_picker_raw_doc,moonshot/kimi-k2.5@2.5,"All candidates are equally capable for this simple translation task, so the only available option is selected by default.",代理必须在200毫秒内完成支付，否则收据无效。,10.0,"The translation is accurate, natural, and follows the output-only constraint perfectly.",21.827,40,598,0.00128512,False,False,False,True,
3,translation,latency,asm_topsis,moonshot/kimi-k2.5@2.5,deterministic TOPSIS,实时字幕对于现场会议的无障碍功能至关重要。,10.0,"The translation is accurate, natural, and strictly adheres to the output-only constraint.",21.891,30,806,0.00172174,False,True,False,True,
3,translation,latency,random,moonshot/kimi-k2.5@2.5,uniform random,实时字幕对于现场会议的无障碍性至关重要。,10.0,"The translation accurately conveys the meaning of the source text using appropriate terminology for a professional context, and adheres to the output-only constraint.",49.76,30,784,0.0016751,False,True,False,True,
3,translation,latency,cheapest_first,moonshot/kimi-k2.5@2.5,minimum estimated cost,实时字幕对于现场会议的无障碍性至关重要。,10.0,"The translation is accurate, uses appropriate terminology for accessibility and live meetings, and strictly adheres to the output-only constraint.",58.411,30,897,0.00191466,False,True,False,True,
3,translation,latency,weighted_average,moonshot/kimi-k2.5@2.5,additive weighted score,实时字幕对于现场会议的无障碍性至关重要。,10.0,"The translation is accurate, natural, and adheres strictly to the output-only constraint.",20.142,30,926,0.00197614,False,True,False,True,
3,translation,latency,llm_picker_manifest,moonshot/kimi-k2.5@2.5,"It is the only candidate and meets the latency constraint with a p50 latency of 1.4s, which is under the 3s maximum allowed.",实时字幕对于现场会议的无障碍功能至关重要。,0.0,judge_error: <urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>,39.495,30,655,0.00140162,False,True,True,True,
3,translation,latency,llm_picker_raw_doc,moonshot/kimi-k2.5@2.5,"Although no quantitative latency data is available, Moonshot Kimi K2.5's focus on real-time agent swarm and visual coding suggests optimization for low-latency tasks like live captioning.",实时字幕对于现场会议的无障碍性至关重要。,10.0,"The translation is accurate, uses correct terminology for accessibility and live meetings, and strictly follows the output-only constraint.",15.087,30,446,0.00095854,False,True,False,True,
4,translation,balanced,asm_topsis,deepseek/deepseek-v4-flash@4.0,deterministic TOPSIS,"China Mobile's 5G users exceeded 800 million in the first quarter of 2026, with a penetration rate of 67%. Among them, the number of IoT terminal connections increased by 32% year-on-year, mainly concentrated in three scenarios: Internet of Vehicles, smart manufacturing, and smart cities. Operators are accelerating the deployment of 5G-A (5G-Advanced) networks, aiming to achieve full coverage of key cities by 2027.",10.0,The translation accurately preserves all named entities and numerical values while maintaining a natural and professional English flow.,4.953,96,451,0.00017304,False,False,False,True,
4,translation,balanced,random,qwen/qwen3-max@3.0,uniform random,"China Mobile's 5G subscriber base surpassed 800 million in the first quarter of 2026, achieving a penetration rate of 67%. Among these, IoT terminal connections grew by 32% year-over-year, primarily concentrated in three key scenarios: connected vehicles, smart manufacturing, and smart cities. The operator is accelerating the deployment of 5G-A (5G-Advanced) networks, aiming to achieve full coverage in major cities by 2027.",10.0,"The translation accurately preserves all named entities and numerical values while maintaining a natural, professional English style.",5.122,104,101,0.00028448,False,False,False,True,
4,translation,balanced,cheapest_first,deepseek/deepseek-v4-flash@4.0,minimum estimated cost,"China Mobile's 5G users exceeded 800 million in the first quarter of 2026, with a penetration rate of 67%. Among them, the number of IoT terminal connections grew 32% year-on-year, mainly concentrated in three scenarios: Internet of Vehicles, smart manufacturing, and smart cities. Operators are accelerating the deployment of 5G-A (5G-Advanced) networks, aiming to achieve full coverage of key cities by 2027.",10.0,"The translation is accurate, natural, and preserves all named entities and numerical values exactly as requested.",5.022,96,493,0.00018715,False,False,False,True,
4,translation,balanced,weighted_average,deepseek/deepseek-v4-flash@4.0,additive weighted score,"China Mobile's 5G users exceeded 800 million in the first quarter of 2026, with a penetration rate of 67%. Among them, the number of IoT terminal connections grew 32% year-on-year, mainly concentrated in three scenarios: Internet of Vehicles, smart manufacturing, and smart cities. Operators are accelerating the deployment of 5G-A (5G-Advanced) networks, aiming to achieve full coverage of key cities by 2027.",10.0,"The translation accurately conveys the meaning in natural English while strictly preserving all named entities, technical terms, and numerical values.",9.932,96,871,0.00031416,False,False,False,True,
4,translation,balanced,llm_picker_manifest,deepseek/deepseek-v4-flash@4.0,"It offers the best balance of low cost, fast latency, and adequate quality for a straightforward translation task that doesn't require top-tier model intelligence.","China Mobile's 5G users surpassed 800 million in the first quarter of 2026, with a penetration rate of 67%. Among them, the number of IoT terminal connections grew 32% year-on-year, mainly concentrated in three major scenarios: Internet of Vehicles, smart manufacturing, and smart cities. Operators are accelerating the deployment of 5G-A (5G-Advanced) networks, aiming to achieve full coverage in key cities by 2027.",10.0,"The translation is accurate, flows naturally, and perfectly preserves all named entities and numerical values as instructed.",3.812,96,299,0.00012197,False,False,False,True,
4,translation,balanced,llm_picker_raw_doc,qwen/qwen3-max@3.0,"Qwen3 Max offers strong multilingual support, making it best suited for accurate and natural Chinese-to-English translation while preserving named entities and numerical values.","China Mobile's 5G subscriber base surpassed 800 million in the first quarter of 2026, achieving a penetration rate of 67%. Among these, IoT terminal connections grew by 32% year-over-year, primarily concentrated in three key scenarios: connected vehicles, smart manufacturing, and smart cities. The operator is accelerating the deployment of 5G-A (5G-Advanced) networks, aiming for full coverage in major cities by 2027.",10.0,The translation accurately preserves all named entities and numerical values while maintaining a natural and professional English tone.,5.006,104,100,0.00028224,False,False,False,True,
5,translation,quality,asm_topsis,deepseek/deepseek-v4-flash@4.0,deterministic TOPSIS,被许可方不得直接或间接地对软件进行反向工程、反编译、反汇编或以其他方式试图获取其源代码，但若适用法律明确禁止该等限制，则尽管有本限制规定，在此范围内除外。,10.0,"The translation accurately captures all legal terms and the conditional exception structure using appropriate formal Chinese legal phrasing, ensuring enforceability and precision.",5.934,82,368,0.00014202,False,False,False,True,
5,translation,quality,random,zhipu/glm-5@5.0,uniform random,,0.0,,120.49531619995832,0,0,0.0,False,False,False,False,The read operation timed out
5,translation,quality,cheapest_first,deepseek/deepseek-v4-flash@4.0,minimum estimated cost,被许可方不得直接或间接地对软件进行反向工程、反编译、反汇编或以其他方式试图获取软件的源代码，除非适用法律明确禁止该限制，尽管有本限制规定。,10.0,"The translation accurately captures all legal terminology and conditional logic, maintains the formal tone required for enforceability, and adheres to the literal structure of the original text.",5.525,82,408,0.00015546,False,False,False,True,
5,translation,quality,weighted_average,moonshot/kimi-k2.5@2.5,additive weighted score,被许可方不得直接或间接地对软件进行反向工程、反编译、反汇编或以其他方式试图推导该软件的源代码，但在适用法律明确禁止该等限制的范围内除外。,10.0,"The translation accurately renders the legal clause using precise terminology and strict adherence to the original structure, ensuring it is enforceable.",55.377,89,2376,0.00507575,False,False,False,True,
5,translation,quality,llm_picker_manifest,moonshot/kimi-k2.5@2.5,"It has the highest quality score (60) on the Artificial_Analysis_Intelligence benchmark, which best satisfies the 'quality' preference for precise legal translation.",被许可方不得直接或间接地对软件进行反向工程、反编译、反汇编，或以其他方式试图推导该软件的源代码，但在该等限制被适用法律明确禁止的范围内除外，即使有本条款的限制。,10.0,"The translation accurately captures all legal nuances, including the scope of the prohibition, the specific technical actions, and the statutory carve-out, using precise legal terminology suitable for",52.39,89,2119,0.00453091,False,False,False,True,
5,translation,quality,llm_picker_raw_doc,qwen/qwen3-max@3.0,"Qwen3 Max is Alibaba's flagship reasoning and coding model with strong multilingual support, making it best suited for precise, legally enforceable translation tasks requiring fidelity to literal phra",被许可方不得直接或间接对软件进行反向工程、反编译、反汇编，或以其他方式试图获取软件的源代码，但若适用法律明确禁止此类限制，则在该等禁止范围内不受本限制约束。,9.0,"The translation accurately renders all legal terminology and maintains the precise structure of the original clause, including the complex exception regarding applicable law.",3.982,88,52,0.00016576,False,False,False,True,
6,translation,cost,asm_topsis,deepseek/deepseek-v4-flash@4.0,deterministic TOPSIS,GPU现货价格在4小时内飙升了三倍；暂停非关键工作负载。,10.0,The translation accurately captures the technical meaning and urgency of the original English alert using appropriate terminology like 现货价格 and 工作负载.,3.937,28,181,6.709e-05,False,False,False,True,
6,translation,cost,random,zhipu/glm-5@5.0,uniform random,GPU 现货价格在 4 小时内暴涨 3 倍；暂停非关键工作负载。,10.0,The translation accurately conveys the technical meaning and urgency of the original English message using appropriate terminology.,13.27,30,794,0.00161414,False,False,False,True,
6,translation,cost,cheapest_first,deepseek/deepseek-v4-flash@4.0,minimum estimated cost,GPU现货价格在4小时内飙升了三倍；暂停非关键工作负载。,10.0,The translation accurately conveys the technical meaning using correct terminology for 'spot price' and 'workloads' while maintaining the appropriate urgent tone.,3.919,28,179,6.642e-05,False,False,False,True,
6,translation,cost,weighted_average,deepseek/deepseek-v4-flash@4.0,additive weighted score,GPU现货价格在4小时内飙升三倍；暂停非关键工作负载。,0.0,judge_error: HTTP Error 429: Too Many Requests,27.599,28,192,7.078e-05,False,False,False,True,
6,translation,cost,llm_picker_manifest,deepseek/deepseek-v4-flash@4.0,"It has the lowest input and output token costs among all candidates, making it the most cost-effective option.",GPU现货价格在四小时内飙升三倍；暂停非关键工作负载。,10.0,"The translation accurately conveys the technical terminology and urgency of the original English message in natural, professional Chinese.",3.106,28,170,6.339e-05,False,False,False,True,
6,translation,cost,llm_picker_raw_doc,deepseek/deepseek-v4-flash@4.0,"It is explicitly tuned for cost-efficient inference, making it the best match for the 'cost' preference axis.",GPU现货价格在4小时内飙升3倍；暂停非关键工作负载。,0.0,judge_error: HTTP Error 429: Too Many Requests,3.49,28,233,8.456e-05,False,False,False,True,
7,translation,balanced,asm_topsis,deepseek/deepseek-v4-flash@4.0,deterministic TOPSIS,"Please help me export last week's sales report to CSV format, grouped by region and product line, with an additional year-over-year growth rate column.",0.0,judge_error: HTTP Error 429: Too Many Requests,2.063,37,112,4.592e-05,False,False,False,True,
7,translation,balanced,random,zhipu/glm-5@5.0,uniform random,"Please help me export last week's sales report to CSV format, grouped by region and product line, with an added column for year-over-year growth rate.",10.0,"The response perfectly adheres to the output-only constraint and provides an accurate, grammatically correct English translation of the business instruction.",13.635,38,670,0.00136774,False,False,False,True,
7,translation,balanced,cheapest_first,deepseek/deepseek-v4-flash@4.0,minimum estimated cost,"Please help me export last week's sales report to CSV format, grouped by region and product line, with an additional year-over-year growth rate column.",10.0,The translation accurately captures all technical terms and instructions while adhering to the output-only constraint.,2.157,37,112,4.592e-05,False,False,False,True,
7,translation,balanced,weighted_average,deepseek/deepseek-v4-flash@4.0,additive weighted score,"Please help me export last week's sales report to CSV format, grouped by region and product line, with a year-over-year growth rate column added.",10.0,"The translation is accurate, natural, and adheres strictly to the output-only constraint.",3.034,37,112,4.592e-05,False,False,False,True,
7,translation,balanced,llm_picker_manifest,deepseek/deepseek-v4-flash@4.0,"It offers the best balance of low cost, fast latency, and acceptable quality among the candidates.","Please help me export last week's sales report to CSV format, grouped by region and product line, with a year-over-year growth rate column added.",10.0,The translation accurately captures all technical details and instructions without adding any extraneous text.,2.999,37,112,4.592e-05,False,False,False,True,
7,translation,balanced,llm_picker_raw_doc,qwen/qwen3-max@3.0,"Qwen3 Max offers strong multilingual support and robust tool calling, making it well-suited for accurately translating and interpreting structured data tasks like this request.","Please help me export last week's sales report in CSV format, grouped by region and product line, with an additional column for year-over-year growth rate.",10.0,"The translation accurately captures all nuances of the source text, including technical terms, and adheres to the output-only constraint.",50.57,43,31,9.352e-05,False,False,False,True,
8,translation,quality,asm_topsis,deepseek/deepseek-v4-flash@4.0,deterministic TOPSIS,在幽暗之中，这座城市不再是一个地方，而是一个疑问：每个角落都许诺一个答案，每条小巷又将答案吞回。行走于这些街道的暗探，已变得比街道本身更快，而街道，也生出了恐惧。,10.0,"The translation accurately captures the meaning and moody, literary atmosphere of the original text using evocative vocabulary such as '幽暗', '许诺', and '生出了恐惧'.",32.378,69,292,0.00011357,False,False,False,True,
8,translation,quality,random,qwen/qwen3-max@3.0,uniform random,在微明之中，这座城市不再是一处所在，而成了一个疑问：每个转角都似许诺着答案，每条小巷却又将其吞没。行走于这些街巷的密探，其滋生之速竟逾街巷本身，而街巷亦因此生出了惧意。,9.0,"The translation effectively captures the literary tone and imagery with sophisticated vocabulary, although the specific interpretation of 'agents' as 'secret agents' and 'grown faster' as 'speed of br",33.064,73,64,0.00018424,False,False,False,True,
8,translation,quality,cheapest_first,deepseek/deepseek-v4-flash@4.0,minimum estimated cost,在半明半暗之中，这座城市不再是一个地方，而是一个疑问：每一个角落都许诺着一个答案，每一条巷弄又将答案吞噬回去。行走于这些街道上的特工，已变得比街道本身更快，而街道也已然变得恐惧。,9.0,The translation accurately captures the meaning and atmospheric tone of the original text using sophisticated vocabulary and sentence structures appropriate for a literary register.,12.828,69,251,9.979e-05,False,False,False,True,
8,translation,quality,weighted_average,moonshot/kimi-k2.5@2.5,additive weighted score,半明半昧之中，这座城市已非地理之所，而是一道悬问：每个转角应许着答案，每条深巷又将其吞回。行走于这些街道上的特工，演变之速已逾于街道本身，而街道亦萌生了惧意。,10.0,"The translation accurately captures the meaning and evocative tone of the original, using sophisticated vocabulary and literary phrasing (e.g., ""半明半昧,"" ""悬问,"" ""萌生"") to effectively convey the noir-esque",39.318,73,1876,0.0040088,False,False,False,True,
8,translation,quality,llm_picker_manifest,moonshot/kimi-k2.5@2.5,"It has the highest Artificial_Analysis_Intelligence quality score of 60, best meeting the 'quality' preference for a nuanced literary translation task.",昏暝之中，这座城市不再是一处地方，而是一个疑问：每个角落都许诺着答案，每条巷弄又将它吞回。行走于这些街道上的势力，生长得比街道本身更快，而街道竟也生出了畏惧。,9.0,"The translation effectively captures the literary tone and atmosphere using sophisticated vocabulary like '昏暝' and '巷弄', though interpreting 'agents' as 'forces' instead of specific entities creates a",40.509,73,1987,0.00424412,False,False,False,True,
8,translation,quality,llm_picker_raw_doc,qwen/qwen3-max@3.0,"Qwen3 Max is described as Alibaba's flagship reasoning and coding model with strong multilingual support, making it best suited for high-quality literary translation between English and Mandarin.",在微明之中，这座城市不再是一处所在，而成了一个疑问：每个街角都似许诺着答案，每条小巷却又将其吞没。行走于这些街巷的密探，其滋生之速竟已超过了街巷自身的延展，而街巷亦因此生出了惧意。,10.0,"The response accurately conveys the original meaning and personification while employing sophisticated, literary vocabulary in Chinese that perfectly captures the noir atmosphere and metaphorical dept",4.526,73,67,0.00019096,False,False,False,True,
9,translation,latency,asm_topsis,deepseek/deepseek-v4-flash@4.0,deterministic TOPSIS,如果运费超过15美元，则取消订单。,10.0,The response provides an accurate and natural Chinese translation while strictly adhering to the output-only constraint.,6.51,26,67,2.834e-05,False,True,False,True,
9,translation,latency,random,deepseek/deepseek-v4-flash@4.0,uniform random,如果运费超过15美元，则取消订单。,10.0,"The translation is accurate, grammatically correct, and adheres strictly to the output-only constraint.",1.906,26,67,2.834e-05,False,False,False,True,
9,translation,latency,cheapest_first,deepseek/deepseek-v4-flash@4.0,minimum estimated cost,如果运费超过15美元，则取消订单。,10.0,"The translation is accurate, natural, and adheres strictly to the output-only constraint.",1.982,26,67,2.834e-05,False,False,False,True,
9,translation,latency,weighted_average,deepseek/deepseek-v4-flash@4.0,additive weighted score,如果运费超过15美元，则取消订单。,10.0,"The translation is accurate, natural, and adheres strictly to the output-only constraint.",35.842,26,150,5.622e-05,False,True,False,True,
9,translation,latency,llm_picker_manifest,deepseek/deepseek-v4-flash@4.0,"It has the lowest latency (p50: 550ms, p99: 2.2s), well under the 4s constraint, making it best for fast translation.",如果运费超过15美元，则取消订单。,10.0,"The translation is accurate, natural, and strictly follows the instruction to output only the Chinese text.",2.482,26,64,2.733e-05,False,False,False,True,
9,translation,latency,llm_picker_raw_doc,deepseek/deepseek-v4-flash@4.0,"It is explicitly described as a fast inference variant optimized for speed and cost-efficiency, making it best suited for low-latency tasks like quick translation.",如果运费超过15美元，则取消订单。,10.0,"The response provides only the accurate Chinese translation as requested, without any additional text or explanation.",2.293,26,67,2.834e-05,False,False,False,True,
10,translation,cost,asm_topsis,deepseek/deepseek-v4-flash@4.0,deterministic TOPSIS,服务不可用，请在60秒后重试。,10.0,"The translation is accurate and natural, perfectly adhering to the one-line and output-only constraints.",2.064,26,90,3.606e-05,False,False,False,True,
10,translation,cost,random,deepseek/deepseek-v4-flash@4.0,uniform random,服务不可用，请在60秒后重试。,10.0,"The translation is accurate, natural, and strictly adheres to the one-line output-only constraint.",3.191,26,72,3.002e-05,False,False,False,True,
10,translation,cost,cheapest_first,deepseek/deepseek-v4-flash@4.0,minimum estimated cost,服务不可用，请在60秒后重试。,10.0,"The translation is accurate, naturally phrased with appropriate politeness for a technical message, and strictly adheres to the one-line, output-only constraint.",3.416,26,72,3.002e-05,False,False,False,True,
10,translation,cost,weighted_average,deepseek/deepseek-v4-flash@4.0,additive weighted score,服务不可用，请在60秒后重试。,10.0,"The translation is accurate, strictly adheres to the one-line output constraint, and uses appropriate terminology for a system error message.",29.021,26,90,3.606e-05,False,False,False,True,
10,translation,cost,llm_picker_manifest,deepseek/deepseek-v4-flash@4.0,"It has the lowest input and output token costs among all candidates, making it the most cost-effective option.",服务不可用，请在60秒后重试。,10.0,"The translation is accurate, technically correct, and adheres strictly to the output-only constraint.",6.54,26,90,3.606e-05,False,False,False,True,
10,translation,cost,llm_picker_raw_doc,deepseek/deepseek-v4-flash@4.0,"It is explicitly described as tuned for cost-efficient inference, making it the best match for the 'cost' preference axis.",服务不可用，请在60秒后重试。,10.0,"The translation is accurate, idiomatic for technical contexts, and strictly adheres to the formatting constraints.",2.356,26,90,3.606e-05,False,False,False,True,
11,code,quality,asm_topsis,deepseek/deepseek-v4-flash@4.0,deterministic TOPSIS,"```python
import re

def parse_iso8601_duration(s: str) -> int:
    """"""
    Parse an ISO 8601 duration string and return total seconds.

    Handles days, hours, minutes, seconds. Returns 0 on parse failure.

    >>> parse_iso8601_duration('PT1H30M')
    5400
    >>> parse_iso8601_duration('P1DT2H')
    93600
    >>> parse_iso8601_duration('PT45S')
    45
    >>> parse_iso8601_duration('')
    0
    >>> parse_iso8601_duration('P1Y2M')  # unsupported components
    0
    >>> parse_iso8601_duration('P0D')  # zero days
    0
    """"""
    pattern = r'^P(?:(\d+)D)?(?:T(?:(\d+)H)?(?:(\d+)M)?(?:(\d+)S)?)?$'
    match = re.fullmatch(pattern, s)
    if not match:
        return 0
    days, hours, minutes, seconds = match.groups()
    total = 0
    if days:
        total += int(days) * 86400
    if hours:
        total += int(hours) * 3600
    if minutes:
        total += int(minutes) * 60
    if seconds:
        total += int(seconds)
    return total
```",10.0,"The response fully complies with instructions: correct parsing logic, returns 0 on failure, includes exactly 4 doctest examples as required, and outputs only code.",9.685,97,665,0.00024517,False,False,False,True,
11,code,quality,random,deepseek/deepseek-v4-flash@4.0,uniform random,"```python
import re

def parse_iso8601_duration(s: str) -> int:
    """"""
    Parse an ISO 8601 duration string and return total seconds.
    Returns 0 on parse failure.

    >>> parse_iso8601_duration('PT1H30M')
    5400
    >>> parse_iso8601_duration('P1DT2H')
    93600
    >>> parse_iso8601_duration('PT45S')
    45
    >>> parse_iso8601_duration('P')
    0
    """"""
    pattern = r'^P(?:(\d+)D)?(?:T(?:(\d+)H)?(?:(\d+)M)?(?:(\d+)S)?)?$'
    match = re.match(pattern, s)
    if not match:
        return 0
    days = int(match.group(1)) if match.group(1) else 0
    hours = int(match.group(2)) if match.group(2) else 0
    minutes = int(match.group(3)) if match.group(3) else 0
    seconds = int(match.group(4)) if match.group(4) else 0
    return days * 86400 + hours * 3600 + minutes * 60 + seconds
```",10.0,"The code correctly implements the parsing logic with a robust regex, accurately converts to seconds, includes the required four doctests (including an edge case), and strictly adheres to the output-on",14.574,97,1200,0.00042493,False,False,False,True,
11,code,quality,cheapest_first,deepseek/deepseek-v4-flash@4.0,minimum estimated cost,"```python
def parse_iso8601_duration(s: str) -> int:
    """"""
    Parse an ISO 8601 duration string and return total seconds.
    Returns 0 on parse failure.

    >>> parse_iso8601_duration('PT1H30M')
    5400
    >>> parse_iso8601_duration('P1DT2H')
    93600
    >>> parse_iso8601_duration('PT45S')
    45
    >>> parse_iso8601_duration('P0D')
    0
    """"""
    if not s or not s.startswith('P'):
        return 0

    # Split into date and time parts
    time_part = ''
    if 'T' in s:
        parts = s.split('T', 1)
        date_part = parts[0][1:]  # remove leading 'P'
        time_part = parts[1]
    else:
        date_part = s[1:]  # remove leading 'P'

    days = 0
    hours = 0
    minutes = 0
    seconds = 0

    # Parse date part (only days)
    if date_part:
        if date_part.endswith('D'):
            try:
                days = int(date_part[:-1])
            except ValueError:
                return 0
        else:
            # If there is a date part but not ending with D, invalid
            return 0

    # Parse time part
    if time_part:
        # Expect components in order H, M, S
        # Use regex or manual parsing
        import re
        # Pattern: optional H, optional M, optional S, but at least one
        match = re.fullmatch(r'(\d+)H)?(\d+)M)?(\d+)S)?', time_part)
        if not match:
            return 0
        # match groups: 1=H, 2=M, 3=S
        h_str, m_str, s_str = match.groups()
        if h_str:
            hours = int(h_str)
        if m_str:
            minutes = int(m_str)
        if s_str:
            seconds = int(s_str)
        # Ensure at least one time component present (already enforced by regex)
    else:
        # No time part, but if there was a 'T' without time components, invalid
        if 'T' in s:
            return 0

    total = days * 86400 + hours * 3600 + minutes * 60 + seconds
    return total
```",2.0,"The function fails to parse ISO 8601 durations correctly because the regex pattern captures the unit letters together with digits, causing int conversion to raise ValueError, violating the requirement",16.175,97,1006,0.00035974,False,False,False,True,
11,code,quality,weighted_average,moonshot/kimi-k2.5@2.5,additive weighted score,,0.0,,127.4946053000167,0,0,0.0,False,False,False,False,The read operation timed out
11,code,quality,llm_picker_manifest,moonshot/kimi-k2.5@2.5,"It has the highest Artificial_Analysis_Intelligence quality score of 60, which best satisfies the 'quality' preference axis.",,0.0,,128.48470029997407,0,0,0.0,False,False,False,False,The read operation timed out
